"date","location","mintemp","maxtemp","rainfall","evaporation","sunshine","windgustdir","windgustspeed","winddir9am","winddir3pm","windspeed9am","windspeed3pm","humidity9am","humidity3pm","pressure9am","pressure3pm","cloud9am","cloud3pm","temp9am","temp3pm","raintoday","risk_mm","raintomorrow"
2020-01-27,"Wollongong",22.1,25.9,0,NA,NA,"SSW",54,"S","SE",20,13,83,77,1014.9,1012.3,8,8,22.6,24.8,"No",0,"No"
2020-01-28,"Wollongong",22.1,26.7,0,NA,NA,"SSW",44,"S","SSE",17,11,88,81,1013.3,1010.1,7,NA,23.4,25.7,"No",0,"No"
2020-01-29,"Wollongong",21.8,26,0,NA,NA,"SSW",39,"S","SSE",20,20,69,65,1016.8,1016.2,7,NA,23.3,25.1,"No",0,"No"
2020-01-30,"Wollongong",19.1,26.3,0,NA,NA,"NE",50,"NNE","NE",9,31,70,72,1018,1013.9,NA,NA,23.4,25.9,"No",0,"No"
2020-01-31,"Wollongong",23.1,26.9,0,NA,NA,"NE",43,"NE","NNE",20,20,81,78,1015.3,1012.3,NA,NA,25.2,26.4,"No",0,"No"
2020-02-01,"Wollongong",22.9,27.8,0,NA,NA,"NE",35,"N","ENE",15,15,86,71,1010.3,1006.8,NA,NA,24.2,26.9,"No",0,"No"
2020-02-02,"Wollongong",22.2,25.4,0,NA,NA,"S",54,"S","S",24,28,88,82,1007,1005.7,1,6,22.3,24,"No",14.6,"Yes"
2020-02-03,"Wollongong",20.9,26,14.6,NA,NA,"S",70,"S","E",9,9,93,63,1006.3,1003.6,8,NA,22.4,25.8,"Yes",0,"No"
2020-02-04,"Wollongong",15.5,21.9,0,NA,NA,"S",65,"SSW","S",20,22,54,61,1021.2,1021.1,5,7,18.1,20.6,"No",0,"No"
2020-02-05,"Wollongong",17.7,24.2,0,NA,NA,"ENE",33,"N","NE",17,26,53,66,1021.1,1018.7,NA,NA,21.9,23.5,"No",2.2,"Yes"
2020-02-06,"Wollongong",19.4,24.5,2.2,NA,NA,"NE",39,"ENE","ESE",20,19,79,67,1022.7,1022.2,7,8,22.6,23.3,"Yes",23.4,"Yes"
2020-02-07,"Wollongong",19.2,21.7,23.4,NA,NA,"ENE",46,"NNE","ESE",15,20,92,93,1021.7,1021.3,8,8,19.6,19.8,"Yes",66.8,"Yes"
2020-02-08,"Wollongong",18.6,22.4,66.8,NA,NA,"ESE",61,"SE","ESE",13,30,92,88,1020.4,1019.8,8,8,20,21.9,"Yes",93.6,"Yes"
2020-02-09,"Wollongong",18.5,21.8,93.6,NA,NA,"E",89,"SE","SE",50,61,92,96,1017.3,1013.2,8,8,20,19.5,"Yes",137.4,"Yes"
2020-02-10,"Wollongong",18.7,24.1,137.4,NA,NA,"E",56,"NNE","NNE",15,11,97,89,1010,1008.4,8,7,21.8,23.5,"Yes",0,"No"
2020-02-11,"Wollongong",20.4,24.8,0,NA,NA,"NNE",33,"SE","NE",9,20,92,82,1009.2,1006.9,6,NA,21.9,23.7,"No",0.2,"No"
2020-02-12,"Wollongong",21.6,23.8,0.2,NA,NA,"SSE",30,"S","SSE",15,13,95,91,1010.6,1010.7,8,8,22.6,22.9,"No",10.8,"Yes"
2020-02-13,"Wollongong",21.3,25.4,10.8,NA,NA,"ESE",26,"SSW","ESE",9,13,95,88,1012.4,1011.6,8,8,22.3,24.6,"Yes",0,"No"
2020-02-14,"Wollongong",21.3,24.9,0,NA,NA,"S",24,"SE","SSE",9,17,87,71,1010.7,1007.3,8,1,22.8,23.9,"No",0,"No"
2020-02-15,"Wollongong",17.5,24.2,0,NA,NA,"SSW",24,"N","ESE",2,9,76,74,1006.3,1006.2,NA,6,21.7,23.6,"No",1.6,"Yes"
2020-02-16,"Wollongong",18.8,24.3,1.6,NA,NA,"S",43,"S","S",9,30,72,80,1014.8,1014.7,NA,8,22.4,22.5,"Yes",31.4,"Yes"
2020-02-17,"Wollongong",19.4,23.3,31.4,NA,NA,"SE",26,"SSW","SSW",11,15,96,95,1015.7,1013.4,8,8,20.2,20.8,"Yes",4.2,"Yes"
2020-02-18,"Wollongong",20,26,4.2,NA,NA,"SW",70,"N","NNE",11,17,85,81,1009.5,1005,NA,4,23.3,25.6,"Yes",8.6,"Yes"
2020-02-19,"Wollongong",19.8,26.7,8.6,NA,NA,"W",54,"WSW","W",19,26,46,33,1002.6,1003.4,NA,1,22.7,26.3,"Yes",0,"No"
2020-02-20,"Wollongong",16.2,22.1,0,NA,NA,"S",33,"SSW","SSE",20,22,60,57,1011.1,1011.3,NA,NA,20,21.3,"No",0.4,"No"
2020-02-21,"Wollongong",17.9,23.4,0.4,NA,NA,"SE",39,"NW","SE",6,17,75,70,1016.7,1016.8,NA,7,20.3,22.1,"No",3.8,"Yes"
2020-02-22,"Wollongong",16.9,23.3,3.8,NA,NA,"SSW",37,"SSW","ENE",17,20,71,76,1024.2,1023.7,7,8,20,21,"Yes",0.6,"No"
2020-02-23,"Wollongong",18.9,24.6,0.6,NA,NA,"NE",35,"N","NE",11,15,69,75,1024.8,1023,5,8,22.2,22.9,"No",0,"No"
2020-02-24,"Wollongong",20.5,26.8,0,NA,NA,"NE",43,"N","NE",17,28,67,71,1021.2,1018.4,NA,NA,22.4,24.7,"No",0,"No"
2020-02-25,"Wollongong",19.4,27.2,0,NA,NA,"NE",44,"E","NE",7,26,76,71,1016.7,1013,NA,NA,23.3,25.2,"No",0,"No"
2020-02-26,"Wollongong",22.4,32.3,0,NA,NA,"S",85,"WNW","NNW",28,26,55,46,1005.8,1001.6,NA,1,27.2,30.6,"No",0,"No"
2020-02-27,"Wollongong",17.7,23.4,0,NA,NA,"NE",44,"SW","NE",13,24,69,66,1012.1,1007.9,4,5,19.9,22.8,"No",0,"No"
2020-02-28,"Wollongong",15.9,23.3,0,NA,NA,"SE",37,"SSW","SSE",13,26,45,64,1011,1012.7,NA,NA,20.6,22.3,"No",0,"No"
2020-02-29,"Wollongong",18.6,24.8,0,NA,NA,"NE",37,"NW","NE",6,24,69,67,1017.6,1014.5,3,NA,21,23.2,"No",0,"No"
2020-03-01,"Wollongong",20.7,27.6,0,NA,NA,"NE",44,"NE","NE",19,33,72,76,1014.1,1010,NA,NA,23.2,24.3,"No",0,"No"
2020-03-02,"Wollongong",20.8,31.6,0,NA,NA,"S",74,"NW","ENE",22,9,36,42,1008.6,1009.8,NA,NA,27.6,29,"No",0,"No"
2020-03-03,"Wollongong",17.5,20.1,0,NA,NA,"SSE",31,"SSW","S",20,15,73,74,1019.9,1020.2,NA,8,18.9,19,"No",10.6,"Yes"
2020-03-04,"Wollongong",16.9,22.1,10.6,NA,NA,"NNE",43,NA,"NNE",0,22,94,84,1019.5,1017,8,8,19.4,21.6,"Yes",3.6,"Yes"
2020-03-05,"Wollongong",19.3,24.3,3.6,NA,NA,"NNE",50,"NNE","NNE",26,22,93,88,1011.8,1007.7,8,8,21.3,20.4,"Yes",12.6,"Yes"
2020-03-06,"Wollongong",20.2,24.9,12.6,NA,NA,"S",46,"WSW","SSW",11,30,74,80,1007.3,1010,8,8,24.3,20.7,"Yes",0,"No"
2020-03-07,"Wollongong",17.2,22.3,0,NA,NA,"S",48,"SW","S",22,33,77,68,1019.8,1020,8,4,19.2,21.3,"No",25.2,"Yes"
2020-03-08,"Wollongong",15.9,21.3,25.2,NA,NA,"SSE",41,"NW","S",6,31,89,70,1021.6,1019.5,7,7,16.9,20.5,"Yes",0,"No"
2020-03-09,"Wollongong",15.5,20.7,0,NA,NA,"S",44,"SSW","SSE",22,20,70,74,1022.1,1021.3,6,8,18.9,19.2,"No",0.2,"No"
2020-03-10,"Wollongong",15.6,22.3,0.2,NA,NA,NA,NA,"SSW","SE",15,15,79,65,1022.4,1020.8,NA,NA,17.9,21.5,"No",0,"No"
2020-03-11,"Wollongong",14.6,23.4,0,NA,NA,"E",30,"SSW","NE",9,9,73,61,1023.8,1023.4,NA,NA,19.5,23,"No",0,"No"
2020-03-12,"Wollongong",17.2,23.8,0,NA,NA,"WNW",52,"SW","ENE",7,22,72,63,1025.8,1023.8,8,NA,20.9,23.1,"No",2.8,"Yes"
2020-03-13,"Wollongong",16.7,24.3,2.8,NA,NA,"NE",44,"NW","NE",19,30,59,65,1020.6,1015.6,NA,NA,20.3,23.1,"Yes",0.4,"No"
2020-03-14,"Wollongong",14.8,18.1,0.4,NA,NA,"SSW",74,"S","SW",54,20,70,87,1018.1,1018.8,8,8,17.6,12.7,"No",8.8,"Yes"
2020-03-15,"Wollongong",11.8,19.8,8.8,NA,NA,"S",54,"SW","S",24,39,64,69,1022.8,1023.2,NA,5,16.7,19.2,"Yes",12.6,"Yes"
2020-03-16,"Wollongong",15.5,20.6,12.6,NA,NA,"SSW",50,"SSW","S",19,37,94,67,1025.7,1026.2,8,1,16.2,20.2,"Yes",46.8,"Yes"
2020-03-17,"Wollongong",15.4,21.7,46.8,NA,NA,"SSE",31,"W","ESE",9,20,86,76,1028.3,1026.5,8,8,17,20.4,"Yes",1.2,"Yes"
2020-03-18,"Wollongong",15.5,24.6,1.2,NA,NA,"NE",44,"NNW","NE",7,35,70,68,1026.7,1021.6,NA,NA,19.3,22.2,"Yes",0,"No"
2020-03-19,"Wollongong",18.2,26.3,0,NA,NA,"NNW",30,NA,"NNE",0,11,64,64,1021.4,1019.1,NA,7,22.2,25.2,"No",0,"No"
2020-03-20,"Wollongong",20.2,35.1,0,NA,NA,"S",63,"NW","NNW",17,13,61,28,1014.8,1010.1,8,NA,23.4,33.7,"No",0,"No"
2020-03-21,"Wollongong",16.8,22.7,0,NA,NA,"S",37,"NW","SSE",11,19,65,61,1020.1,1020.2,NA,3,21.2,21.6,"No",0,"No"
2020-03-22,"Wollongong",18.7,25.2,0,NA,NA,"SSW",54,"NW","SSE",22,15,72,55,1018.4,1016.9,NA,NA,21.3,24.1,"No",0.6,"No"
2020-03-23,"Wollongong",16.7,21.1,0.6,NA,NA,"S",57,"SSW","S",20,26,61,64,1025.9,1024.8,8,4,19.2,19.9,"No",0,"No"
2020-03-24,"Wollongong",15.6,22.3,0,NA,NA,"NE",43,NA,"NE",0,33,78,74,1024.6,1021.1,7,5,18.4,20.6,"No",0.2,"No"
2020-03-25,"Wollongong",18.4,22.6,0.2,NA,NA,"NNE",48,"WNW","S",2,28,74,86,1018.8,1018.8,2,8,21.2,19.9,"No",8.6,"Yes"
2020-03-26,"Wollongong",15.8,20.8,8.6,NA,NA,"S",59,"SSW","S",33,33,69,69,1026.2,1025.7,8,6,17.6,20.1,"Yes",14,"Yes"
2020-03-27,"Wollongong",16.8,22.4,14,NA,NA,"ESE",44,"SE","ESE",17,9,70,55,1027.9,1026.4,8,7,19.4,21.3,"Yes",0,"No"
2020-03-28,"Wollongong",14.7,23.2,0,NA,NA,"NE",39,"SW","ENE",11,7,77,63,1025.8,1023.2,8,7,19.4,22.6,"No",15.6,"Yes"
2020-03-29,"Wollongong",17.5,23.4,15.6,NA,NA,"NE",43,"NNW","NE",7,33,87,81,1020.9,1016.9,7,8,19.8,21.6,"Yes",0.2,"No"
2020-03-30,"Wollongong",19.6,26.4,0.2,NA,NA,"NW",44,"WNW","WNW",22,11,69,62,1013,1010.8,7,8,21.3,25.1,"No",0,"No"
2020-03-31,"Wollongong",18,23.5,0,NA,NA,"SSE",24,"SW","ESE",7,19,79,78,1016.6,1015.9,NA,1,21.4,22.9,"No",0.6,"No"
2020-04-01,"Wollongong",20.1,23.4,0.6,NA,NA,"NW",33,"ENE","NW",13,20,88,90,1020.2,1018.4,7,8,21.6,19.6,"No",14.6,"Yes"
2020-04-02,"Wollongong",19.1,24,14.6,NA,NA,"N",39,"NNE","N",28,9,80,84,1015,1011,5,8,21.5,21.2,"Yes",3.6,"Yes"
2020-04-03,"Wollongong",17.5,25.2,3.6,NA,NA,"N",39,"NE","NE",7,17,78,73,1009.9,1005.9,NA,8,21.4,24.4,"Yes",2.8,"Yes"
2020-04-04,"Wollongong",20,25.1,2.8,NA,NA,"NW",83,"NW","WNW",28,37,78,30,997.7,999.6,8,NA,20.6,23.3,"Yes",0,"No"
2020-04-05,"Wollongong",14,23.6,0,NA,NA,"NW",50,"WNW","WNW",31,17,45,30,1012.9,1011.4,1,NA,18.2,23.4,"No",0,"No"
2020-04-06,"Wollongong",15.2,23.6,0,NA,NA,"SSE",39,"WSW","S",15,31,51,76,1018,1017.8,NA,8,19.7,18.5,"No",0,"No"
2020-04-07,"Wollongong",14.8,20.4,0,NA,NA,"S",28,"SW","S",17,13,66,65,1023.3,1021.1,8,8,17.2,19.2,"No",0.2,"No"
2020-04-08,"Wollongong",14.8,20.1,0.2,NA,NA,"S",31,"S","S",2,20,82,74,1023.2,1022.6,8,8,17,18.5,"No",0,"No"
2020-04-09,"Wollongong",16.1,21.3,0,NA,NA,"S",33,"SSW","S",17,17,70,76,1027.5,1024.7,NA,NA,19.9,19.9,"No",0,"No"
2020-04-10,"Wollongong",16.4,23,0,NA,NA,"W",54,"N","NNE",22,20,79,61,1019.6,1011.4,8,1,19.1,22.7,"No",4.6,"Yes"
2020-04-11,"Wollongong",15,25.7,4.6,NA,NA,"W",76,"NNW","W",19,39,50,28,1004,1000.4,NA,1,20.7,22.9,"Yes",0,"No"
2020-04-12,"Wollongong",11.7,20.1,0,NA,NA,"SSW",43,"SW","SSE",19,19,36,48,1015.8,1014.9,NA,NA,16.8,18.7,"No",0,"No"
2020-04-13,"Wollongong",11.8,20.9,0,NA,NA,"NNE",24,"SSE","NNE",7,9,58,62,1022.1,1019.9,NA,2,17.8,19.2,"No",0,"No"
2020-04-14,"Wollongong",13.8,22.9,0,NA,NA,"NE",24,"SE","NNE",6,15,68,66,1024.2,1021.8,NA,NA,19.7,21.7,"No",0,"No"
2020-04-15,"Wollongong",14.8,24.5,0,NA,NA,"NE",30,"N","NNE",7,19,67,73,1022.6,1018,NA,NA,20.8,22.1,"No",0,"No"
2020-04-16,"Wollongong",18.3,24.8,0,NA,NA,"N",39,"N","NW",17,6,60,66,1012.1,1008.5,7,8,21.2,21.9,"No",0,"No"
2020-04-17,"Wollongong",16.3,25.9,0,NA,NA,"W",52,"WSW","W",19,22,40,18,1011.2,1008.5,NA,NA,20.3,25,"No",0,"No"
2020-04-18,"Wollongong",14.3,22.1,0,NA,NA,"WSW",39,"WSW","SE",17,13,40,48,1013,1011.2,NA,NA,18.9,20,"No",0,"No"
2020-04-19,"Wollongong",13.2,20.6,0,NA,NA,"SSE",24,"WSW","SSE",6,19,63,70,1014.8,1013.5,1,NA,18,19.8,"No",0,"No"
2020-04-20,"Wollongong",14.9,20.7,0,NA,NA,"NNW",30,"NW","ESE",9,2,67,54,1015.5,1011.7,7,8,16.6,18.5,"No",0,"No"
2020-04-21,"Wollongong",13.5,22.6,0,NA,NA,"SSW",30,"NW","ENE",6,15,52,64,1018.9,1014.8,NA,NA,20.7,21.9,"No",0,"No"
2020-04-22,"Wollongong",15.1,24.8,0,NA,NA,"SW",33,"W","E",17,15,43,63,1018.8,1016.4,NA,NA,20.5,21.8,"No",0,"No"
2020-04-23,"Wollongong",15.4,24.2,0,NA,NA,"NE",33,"S","N",7,13,68,38,1020.6,1015.5,NA,NA,20.9,23.6,"No",0,"No"
2020-04-24,"Wollongong",18.2,26.3,0,NA,NA,"W",33,"SSW","N",9,9,48,57,1017,1015.9,NA,NA,22,23.6,"No",0,"No"
2020-04-25,"Wollongong",16.6,26.2,0,NA,NA,"NE",35,"NNE","NNE",7,22,57,73,1021.6,1016.7,NA,NA,21.1,22.5,"No",0,"No"
2020-04-26,"Wollongong",16.2,24.7,0,NA,NA,"WNW",54,"N","W",17,15,48,39,1014,1012.1,6,8,22,24.1,"No",0,"No"
2020-04-27,"Wollongong",14.2,21.2,0,NA,NA,"N",28,"S","ESE",7,4,66,69,1024.1,1023.1,NA,7,19.2,20,"No",0,"No"
2020-04-28,"Wollongong",18.1,22.1,0,NA,NA,"NE",43,"NNE","NE",24,26,69,73,1024.5,1020.6,6,8,20.2,21,"No",0,"No"
2020-04-29,"Wollongong",18.8,24.7,0,NA,NA,"NNW",50,"NNE","NE",26,30,72,81,1014.9,1011.7,6,5,20.9,21.3,"No",7.4,"Yes"
2020-04-30,"Wollongong",16.9,17.3,7.4,NA,NA,"WSW",59,"SW","WSW",9,6,82,83,1007.7,1005.7,7,8,16.9,13.3,"Yes",13.4,"Yes"
2020-05-01,"Wollongong",9.6,16.7,13.4,NA,NA,"NW",72,"WNW","NW",30,20,46,39,1007.3,1004.8,1,5,13.4,15.4,"Yes",0,"No"
2020-05-02,"Wollongong",12.2,16.9,0,NA,NA,"W",85,"WNW","WSW",17,28,44,35,1002.5,1002.2,3,NA,14.2,15.8,"No",0,"No"
2020-05-03,"Wollongong",11.8,18.5,0,NA,NA,"WNW",69,"WSW","S",20,22,41,47,1016.9,1018.3,NA,NA,15.4,17.5,"No",0,"No"
2020-05-04,"Wollongong",10.6,17.7,0,NA,NA,"S",43,"SW","S",17,35,54,54,1026.1,1025.6,NA,NA,15.5,16.4,"No",0,"No"
2020-05-05,"Wollongong",13.4,18.8,0,NA,NA,"SSW",33,"SSW","SE",19,13,64,63,1031.1,1028.8,NA,NA,16.9,18.1,"No",0,"No"
2020-05-06,"Wollongong",13.3,22.5,0,NA,NA,"NNW",31,"NW","N",15,19,61,46,1029,1023.5,NA,NA,17.6,22.2,"No",0,"No"
2020-05-07,"Wollongong",13.9,21.8,0,NA,NA,"NNW",30,"WNW","NNE",11,19,48,61,1022,1018.1,7,4,16.7,20.8,"No",0,"No"
2020-05-08,"Wollongong",16.7,25.4,0,NA,NA,"NW",39,"S","NNE",9,20,51,54,1017.8,1014.2,NA,NA,21,23.2,"No",0,"No"
2020-05-09,"Wollongong",17.4,25.5,0,NA,NA,"NW",54,"NNW","NW",31,24,40,33,1012.4,1008.1,NA,NA,21.6,25,"No",0,"No"
2020-05-10,"Wollongong",10.3,17.4,0,NA,NA,"NW",52,"WSW","S",22,20,44,30,1019.1,1020,NA,NA,12.8,16.7,"No",0,"No"
2020-05-11,"Wollongong",9.9,17.9,0,NA,NA,"SW",28,"W","SSE",11,15,42,43,1027.3,1026.3,NA,NA,14.6,16.9,"No",0,"No"
2020-05-12,"Wollongong",9.7,20,0,NA,NA,"NNE",31,"NW","N",15,17,44,38,1026.9,1022.9,NA,NA,16.6,19.6,"No",0,"No"
2020-05-13,"Wollongong",12,19.4,0,NA,NA,"NW",24,"SSW","ESE",9,9,46,47,1023.1,1021.5,4,6,15.8,17.8,"No",0,"No"
2020-05-14,"Wollongong",11.7,17.1,0,NA,NA,"SSW",46,"SW","S",26,35,67,61,1028.1,1027.2,3,8,14.8,15.9,"No",0,"No"
2020-05-15,"Wollongong",11.9,17.7,0,NA,NA,"S",50,"SW","SSW",22,33,58,70,1030.6,1029,NA,7,15.2,15.5,"No",9,"Yes"
2020-05-16,"Wollongong",11.9,18,9,NA,NA,"WSW",24,"SW","SSE",11,9,88,71,1032.1,1029.7,8,8,14.4,17.5,"Yes",1,"No"
2020-05-17,"Wollongong",11.5,18.3,1,NA,NA,"W",24,"SW","WSW",13,7,77,86,1031.7,1030.3,NA,8,16.7,15.9,"No",17.2,"Yes"
2020-05-18,"Wollongong",12.1,19,17.2,NA,NA,"S",28,"SSW","ENE",7,15,85,74,1033.7,1030.9,8,8,16.6,17.4,"Yes",0,"No"
2020-05-19,"Wollongong",14.7,21.2,0,NA,NA,"ENE",31,"NW","NE",11,22,72,68,1029.8,1025.3,NA,NA,18.2,19.6,"No",0,"No"
2020-05-20,"Wollongong",14.4,23.2,0,NA,NA,"NW",59,"NW","NNW",19,33,67,46,1018.5,1014.1,1,NA,17.3,22.4,"No",0,"No"
2020-05-21,"Wollongong",15.8,16.9,0,NA,NA,"S",39,"W","ESE",6,7,68,84,1013.6,1010.2,8,8,16.3,16,"No",50,"Yes"
2020-05-22,"Wollongong",9.8,16.9,50,NA,NA,"SW",63,"SW","SW",33,30,56,60,1010.6,1008.6,8,8,13.6,15.3,"Yes",2.2,"Yes"
2020-05-23,"Wollongong",11.4,17.4,2.2,NA,NA,"SW",59,"SW","WSW",30,22,52,59,1006.6,1006.6,6,8,16.8,16.1,"Yes",0,"No"
2020-05-24,"Wollongong",14.1,17.6,0,NA,NA,"SSW",81,"SSW","SSW",48,61,67,60,1012.6,1012.8,8,8,16,16.5,"No",0,"No"
2020-05-25,"Wollongong",12.9,16.9,0,NA,NA,"SW",67,"SW","SSW",39,43,75,74,1018.4,1018.4,8,8,14.4,15.4,"No",6,"Yes"
2020-05-26,"Wollongong",12.7,18.3,6,NA,NA,"SSW",52,"SW","SSE",20,30,93,67,1023.7,1022.2,8,8,14,17.4,"Yes",0.6,"No"
2020-05-27,"Wollongong",11.3,18.5,0.6,NA,NA,"SW",26,"SW","SE",13,9,80,69,1023,1019.9,NA,NA,15.3,17.8,"No",0,"No"
2020-05-28,"Wollongong",13,20.5,0,NA,NA,"S",31,"WSW","NNE",2,4,64,64,1020.8,1019.4,NA,1,17.1,19.1,"No",0,"No"
2020-05-29,"Wollongong",13.4,18.7,0,NA,NA,"SSE",28,"SW","SSE",15,17,78,70,1027.4,1026.3,8,8,15.8,17.6,"No",0,"No"
2020-05-30,"Wollongong",12.9,20.1,0,NA,NA,"NE",41,"NW","NNE",13,22,67,64,1027.2,1022.9,NA,NA,17.3,19.3,"No",0,"No"
2020-05-31,"Wollongong",13.8,20.1,0,NA,NA,"NNW",37,"NNW","NNE",22,20,68,63,1018.8,1014.8,6,NA,16.6,19.1,"No",0,"No"
2020-06-01,"Wollongong",13,22.6,0,NA,NA,"WNW",74,"NW","WNW",7,15,53,30,1008.8,1005.8,NA,3,17.6,20.3,"No",1.4,"Yes"
2020-06-02,"Wollongong",8.2,17.1,1.4,NA,NA,"WNW",69,"W","WSW",20,19,59,49,1013.8,1014.6,7,7,11.6,14.8,"Yes",0,"No"
2020-06-03,"Wollongong",10.5,17.5,0,NA,NA,"SSW",54,"W","S",13,31,48,47,1021.3,1024.1,NA,NA,15.3,16.3,"No",0,"No"
2020-06-04,"Wollongong",10.3,16.1,0,NA,NA,"SW",33,"SW","SSE",17,19,52,54,1033.1,1030.8,8,NA,13.3,15.6,"No",0,"No"
2020-06-05,"Wollongong",8.2,17.7,0,NA,NA,"W",17,"W","NE",2,9,59,51,1030,1025.4,NA,NA,13.4,17.3,"No",0,"No"
2020-06-06,"Wollongong",7.6,17.4,0,NA,NA,"NNE",19,"SSW","NE",7,9,69,66,1026,1022.2,NA,1,14.6,16.6,"No",0,"No"
2020-06-07,"Wollongong",9.7,16.3,0,NA,NA,"SSE",44,"SW","S",11,35,77,74,1023.5,1022.6,NA,8,13.6,14.6,"No",2,"Yes"
2020-06-08,"Wollongong",10.2,16.7,2,NA,NA,"S",46,"SW","SSW",26,31,62,61,1028.9,1028.4,NA,7,13.1,15.9,"Yes",6.6,"Yes"
2020-06-09,"Wollongong",11.8,17.2,6.6,NA,NA,"SW",30,"SW","SE",15,11,83,75,1033.6,1031.3,NA,NA,14.6,16.5,"Yes",1,"No"
